Valence Electrons, Adsorption Energy, Surface
7.611662611,-0.605923096,Ir6Tc6
8.377718728,-0.595362494,Re6Zn6
8,-0.574515444,Fe6Os6
8,-0.554093028,Fe6Ru6
8,-0.523344981,Ag6Fe6
7.883735163,-0.452070339,Pt6Tc6
8.895920362,-0.446155809,Cu6Fe6
8,-0.412319269,Os6Ru6
8.377718728,-0.395771347,Tc6Zn6
6,-0.394555814,Au6Cr6
8.320335292,-0.380181265,Co6Os6
8,-0.376089897,Ru12
8.320335292,-0.363146258,Co6Ru6
5,-0.339866511,Hg6V6
9.15771394,-0.33356449,Fe6Zn6
8.61773876,-0.319504232,Fe6Ni6
8.61773876,-0.314245632,Ni6Os6
6,-0.263022243,Hg6Mo6
9,-0.253032128,Co12
8.61773876,-0.236594955,Ni6Ru6
8.895920362,-0.22997048,Cu6Os6
9,-0.223120967,Ag6Co6
8.320335292,-0.222994298,Os6Rh6
8.61773876,-0.211758309,Os6Pd6
7,-0.204865257,Cd6Re6
7,-0.203148899,Cd6Mn6
7,-0.192143119,Re6Y6
7.611662611,-0.179661257,Ir6Mn6
8.320335292,-0.140506525,Rh6Ru6
9.15771394,-0.134679887,Ru6Zn6
8,-0.129969325,Os12
8.895920362,-0.099503323,Cu6Ru6
9.62260299,-0.097794856,Co6Cu6
9.321697518,-0.073014946,Co6Ni6
8.61773876,-0.06315286,Pd6Ru6
8.61773876,-0.058647335,Fe6Pd6
8.320335292,0.013556303,Fe6Ir6
8,0.027534519,Au6Fe6
9.15771394,0.04790605,Os6Zn6
12,0.078724574,Zn12
8.895920362,0.082503011,Ag6Ru6
8.320335292,0.090854049,Ir6Os6
9,0.091649437,Co6Rh6
9.905781747,0.108090147,Co6Zn6
12,0.134888054,Cd6Zn6
8.61773876,0.140297541,Os6Pt6
9.321697518,0.158548625,Co6Pd6
8.320335292,0.175677102,Ir6Ru6
8.138223044,0.175920508,Cu6Mn6
10,0.203387543,Ag6Ni6
8.61773876,0.214804895,Pt6Ru6
8.61773876,0.231125875,Fe6Pt6
10.32280115,0.235364593,Cu6Ni6
10.48296558,0.255223052,Cd6Fe6
9,0.290400977,Co6Ir6
9.62260299,0.297193347,Cu6Ir6
9.321697518,0.323209334,Ir6Ni6
9.321697518,0.363732119,Ni6Rh6
9,0.368093424,Au6Co6
9.62260299,0.383054515,Cu6Rh6
10,0.387133365,Cd6Ni6
7,0.39931182,Cd6Tc6
9.62260299,0.40542268,Ag6Ir6
9.321697518,0.425774074,Co6Pt6
9.321697518,0.458768149,Ir6Pd6
10.62658569,0.467551984,Ni6Zn6
7.611662611,0.487777661,Mn6Rh6
12,0.507622788,Ag6Zn6
11,0.515538987,Cd6Cu6
9.62260299,0.523464711,Ag6Rh6
9,0.563892392,Ir6Rh6
9.321697518,0.568408121,Pd6Rh6
9,0.595410113,Rh12
9.905781747,0.610801961,Cd6Ir6
7,0.619271912,Au6Re6
10,0.634917914,Ni6Pt6
11.65695337,0.640969725,Cu6Zn6
9.905781747,0.69379913,Ir6Zn6
7.883735163,0.693961855,Mn6Ni6
9.321697518,0.720528056,Pt6Rh6
9.905781747,0.721732024,Cd6Rh6
9.321697518,0.725065691,Ir6Pt6
10,0.737789598,Au6Ni6
9.905781747,0.741982056,Rh6Zn6
9,0.750792558,Ir12
8.320335292,0.788571482,Fe6Rh6
11,0.815140814,Cu12
11,0.844416181,Ag6Cu6
9.62260299,0.866565159,Au6Rh6
12,0.904440412,Cd12
11.29243235,0.918149779,Pd6Zn6
7,0.96435158,Ag6Mn6
7,1.013833441,Au6Tc6
11.29243235,1.023988185,Pt6Zn6
10,1.050546087,Ni6Pd6
9,1.053096338,Hg6Rh6
9,1.065374795,Co6Hg6
8.485281374,1.080796439,Co6Fe6
11,1.133460807,Cu6Pd6
10.65602237,1.170693735,Cu6Pt6
11.65695337,1.246558937,Ag6Cd6
12,1.253113887,Cd6Hg6
10.32280115,1.267181493,Ag6Pt6
10,1.272994797,Pd6Pt6
10,1.359148895,Pd12
11,1.365880039,Au6Cu6
10,1.417018665,Pt12
11.29243235,1.4217012,Cd6Pt6
11.65695337,1.437884218,Au6Cd6
11.29243235,1.471312042,Cd6Pd6
11.65695337,1.483095796,Cu6Hg6
10.32280115,1.575832873,Ag6Pd6
9,1.581751213,Au6Ir6
11.32371348,1.583280901,Au6Zn6
8,1.649216261,Au6Ru6
10.32280115,1.678456389,Au6Pt6
10.32280115,1.870309979,Au6Pd6
7.883735163,1.94565177,Mn6Pt6
11,1.961799686,Ag12
11.29243235,2.002607237,Hg6Pt6
7,2.131035173,Mn6Pd6
11,2.171728301,Ag6Au6
11.65695337,2.174596653,Au6Hg6
11.29243235,2.226565498,Hg6Pd6
11,2.415031951,Au12
