"surface","site","reaction energy (eV)","reaction energy difference (eV)","absolute reaction energy difference (eV)"
"Os6Rh6","hollow|A_B_B|HCP",0.567441029,-0.849577636,0.849577636
"Co6Zn6","hollow|A_B_B|FCC",0.564899757,-0.852118908,0.852118908
"Ir6Rh6","hollow|A_A_B|FCC",0.563892392,-0.853126273,0.853126273
"Ag6Au6","hollow|A_A_B|FCC",2.272741312,0.855722647,0.855722647
"Hg6Pd6","bridge|B_B|A",2.289911967,0.872893302,0.872893302
"Mn6Pd6","hollow|A_A_B|HCP",2.299471326,0.882452661,0.882452661
"Ni6Zn6","hollow|A_A_B|FCC",0.530487289,-0.886531376,0.886531376
"Os6Pt6","top|A",0.529135428,-0.887883237,0.887883237
"Ag6Rh6","hollow|A_B_B|FCC",0.523464711,-0.893553954,0.893553954
"Ag6Pt6","top|B",2.310644049,0.893625384,0.893625384
"Cr6La6","top|B",0.522878442,-0.894140223,0.894140223
"Ru6Zn6","4fold|A_A_B_B",0.519628858,-0.897389807,0.897389807
"Cd6Cu6","bridge|B_B|A",0.515538987,-0.901479678,0.901479678
"Co6Cu6","hollow|A_B_B|HCP",0.513194183,-0.903824482,0.903824482
"Hf6Re6","top|A",0.509700921,-0.907317744,0.907317744
"Ag6Zn6","bridge|B_B|A",0.507622788,-0.909395877,0.909395877
"Ag6Ir6","bridge|B_B|A",0.507282373,-0.909736292,0.909736292
"Cu6Rh6","hollow|A_B_B|HCP",0.506732431,-0.910286234,0.910286234
"Cu6Os6","hollow|A_A_B|HCP",0.495550049,-0.921468616,0.921468616
"Ag6Au6","hollow|A_B_B|HCP",2.339808257,0.922789592,0.922789592
"Mn6Rh6","hollow|A_A_B|HCP",0.488192499,-0.928826166,0.928826166
"Mn6Rh6","hollow|A_A_B|FCC",0.487777661,-0.929241004,0.929241004
"Ni6Rh6","hollow|A_A_B|FCC",0.484000585,-0.93301808,0.93301808
"Ni6Rh6","hollow|A_A_B|FCC",0.484000585,-0.93301808,0.93301808
"Ni6Rh6","hollow|A_A_B|FCC",0.484000585,-0.93301808,0.93301808
"Ni6Os6","hollow|A_A_B|FCC",0.482948457,-0.934070208,0.934070208
"Cd6Zn6","hollow|A_A_B|HCP",0.482898796,-0.934119869,0.934119869
"Ni6Rh6","hollow|A_A_B|HCP",0.481918914,-0.935099751,0.935099751
"Ni6Rh6","hollow|A_A_B|HCP",0.481918914,-0.935099751,0.935099751
"Ni6Rh6","hollow|A_A_B|HCP",0.481918914,-0.935099751,0.935099751
"Ag6Fe6","hollow-tilt|A_A_B|HCP",0.481627753,-0.935390912,0.935390912
"Cd6Tc6","top|B",0.481163526,-0.935855139,0.935855139
"Os6Zr6","top|A",0.468323427,-0.948695238,0.948695238
"Ni6Zn6","hollow|A_A_B|HCP",0.467551984,-0.949466681,0.949466681
"Cu6Ir6","hollow|A_B_B|HCP",0.463873141,-0.953145524,0.953145524
"Fe6Pt6","hollow|A_A_B|HCP",0.461913241,-0.955105424,0.955105424
"Ir6Pd6","hollow|A_A_B|FCC",0.458768149,-0.958250516,0.958250516
"Rh6Ru6","hollow|A_A_B|HCP",0.445160281,-0.971858384,0.971858384
"Hf6Os6","top|A",0.44058319,-0.976435475,0.976435475
"Cu6Os6","top-tilt|B",0.435814259,-0.981204406,0.981204406
"Cd6Tc6","bridge-tilt|A_B|A",0.435261459,-0.981757206,0.981757206
"Co6Os6","top|B",0.42683491,-0.990183755,0.990183755
"Co6Pt6","hollow|A_A_B|FCC",0.425774074,-0.991244591,0.991244591
"Co6Cu6","hollow|A_B_B|FCC",0.423933905,-0.99308476,0.99308476
"Au12","hollow|A_A_A|FCC",2.415031951,0.998013286,0.998013286
"Pt6Ru6","bridge|B_B|A",0.413129352,-1.003889313,1.003889313
"Au6Pt6","hollow|A_A_B|HCP",2.422497122,1.005478457,1.005478457
"Au6Pd6","hollow|A_A_B|HCP",2.426776929,1.009758264,1.009758264
"Ag6Ir6","hollow|A_B_B|FCC",0.40542268,-1.011595985,1.011595985
"Ag6Au6","hollow|A_A_B|HCP",2.431486947,1.014468282,1.014468282
"Ni6Rh6","hollow|A_B_B|HCP",0.401485737,-1.015532928,1.015532928
"Ni6Rh6","hollow|A_B_B|HCP",0.401485737,-1.015532928,1.015532928
"Ni6Rh6","hollow|A_B_B|HCP",0.401485737,-1.015532928,1.015532928
"Ag6Fe6","hollow-tilt|A_A_B|FCC",0.400401908,-1.016616757,1.016616757
"Cd6Tc6","bridge-tilt|B_B|B",0.39931182,-1.017706845,1.017706845
"Cd6Ni6","bridge|B_B|A",0.387133365,-1.0298853,1.0298853
"Cu6Rh6","hollow|A_B_B|FCC",0.383054515,-1.03396415,1.03396415
"Ni6Ru6","hollow|A_A_B|FCC",0.379307235,-1.03771143,1.03771143
"Ni6Ru6","hollow|A_A_B|FCC",0.379307235,-1.03771143,1.03771143
"Ni6Ru6","hollow|A_A_B|FCC",0.379307235,-1.03771143,1.03771143
"Hg6Pd6","hollow|A_A_B|HCP",2.455077584,1.038058919,1.038058919
"Co6Ir6","hollow|A_A_B|HCP",0.374171766,-1.042846899,1.042846899
"Ir6Ni6","hollow|A_A_B|HCP",0.374141426,-1.042877239,1.042877239
"Au6Co6","bridge|B_B|A",0.368093424,-1.048925241,1.048925241
"Co6Ir6","hollow|A_B_B|FCC",0.367625252,-1.049393413,1.049393413
"Ni6Rh6","hollow|A_B_B|FCC",0.363732119,-1.053286546,1.053286546
"Ni6Rh6","hollow|A_B_B|FCC",0.363732119,-1.053286546,1.053286546
"Ni6Rh6","hollow|A_B_B|FCC",0.363732119,-1.053286546,1.053286546
"Co6Ir6","hollow|A_A_B|FCC",0.353940647,-1.063078018,1.063078018
"La6Rh6","top|A",0.341442458,-1.075576207,1.075576207
