surface,site,reaction energy (eV),reaction energy difference (eV),absolute reaction energy difference (eV)
Ag6Au6,hollow|A_B_B|HCP,4.979302288,0.869229153,0.869229153
Cr6Ta6,top|A,3.239231162,-0.870841973,0.870841973
Cr6Pd6,top|B,4.98358672,0.873513585,0.873513585
Cd6Hg6,hollow|A_A_B|HCP,4.98544553,0.875372394999999,0.875372394999999
Rh6Sc6,hollow|A_B_B|FCC,3.234257466,-0.875815669000001,0.875815669000001
Ir6Os6,bridge|A_B|B,3.2320079,-0.878065235,0.878065235
Mn6Zn6,hollow|A_B_B|HCP,3.231892388,-0.878180747,0.878180747
Mn6Zn6,hollow|A_B_B|FCC,3.221671928,-0.888401207,0.888401207
Hg6La6,bridge|B_B|A,3.21961883,-0.890454305,0.890454305
Pt6Y6,hollow|A_B_B|FCC,3.198005236,-0.912067899,0.912067899
Pd6Ti6,hollow|A_A_B|HCP,3.197928091,-0.912145044,0.912145044
Mo6Zn6,hollow|A_B_B|HCP,3.194221356,-0.915851779000001,0.915851779000001
Ag6Mo6,hollow|A_A_B|HCP,3.189311198,-0.920761937,0.920761937
Cu6Os6,top|B,3.187628718,-0.922444417,0.922444417
Cu6Re6,top|B,3.18741266,-0.922660475,0.922660475
Y12,top|A,5.033120555,0.92304742,0.92304742
Cu6Pd6,bridge|B_B|A,3.17968626,-0.930386875,0.930386875
Cd6Ir6,top-tilt|B,3.179521359,-0.930551776,0.930551776
Fe6Pd6,bridge|A_B|A,3.179107474,-0.930965661,0.930965661
Pt6Ti6,hollow|A_A_B|FCC,3.178323241,-0.931749894,0.931749894
Cd6Hg6,hollow|A_A_B|FCC,5.045343772,0.935270636999999,0.935270636999999
Cd6Re6,top|B,3.172004486,-0.938068649,0.938068649
Co6Fe6,4fold|A_A_B_B,3.160249849,-0.949823286,0.949823286
Cd6Mo6,hollow-tilt|A_A_B|FCC,3.158017563,-0.952055572,0.952055572
Cd6Ru6,top-tilt|B,3.157523404,-0.952549731,0.952549731
Pd6Y6,hollow|A_B_B|FCC,3.156969244,-0.953103891000001,0.953103891000001
Au6Y6,hollow|A_B_B|FCC,3.151344651,-0.958728484,0.958728484
Cd6Pd6,hollow|A_A_B|FCC,5.078012263,0.967939127999999,0.967939127999999
Ag6Cu6,hollow|A_A_B|FCC,5.078700303,0.968627167999999,0.968627167999999
Tc6Zn6,hollow|A_B_B|FCC,3.139105651,-0.970967484,0.970967484
Ag6Zn6,4fold|A_A_B_B,5.081134361,0.971061226,0.971061226
Au6La6,hollow|A_B_B|FCC,3.13598641,-0.974086725,0.974086725
Pt6Ti6,hollow|A_A_B|HCP,3.135507626,-0.974565509000001,0.974565509000001
