surface,LC,MV,EN,SE,DBC,DBF,DOS,CN,GCN,RxnE
Au6V6,355.41,9.265,2.19087876439822,386.933333333333,-3.167378508,0.842159281,23.72,3,7.5,0.216879491
Au6V6,355.41,9.265,2.19087876439822,386.933333333333,-3.167132,0.84209989,23.72,3,6.95454545454545,0.052989
Au6W6,362.17,9.84,2.36,835,-0.83500217,0.552322519,12.39,1,7.5,-0.141907639
Au6W6,362.17,9.84,2.54,342.5,-4.061157812,0.961420631,12.39,2,7.33,-0.656967162
Au6W6,362.17,9.84,2.36,835,-0.834943758,0.552315906,12.39,2,7.33,-0.658091536
Au6W6,362.17,9.84,2.47852409581566,506.666666666667,-3.091765182,0.838492323,12.39,3,6.95454545454545,0.041778998
Au6W6,362.17,9.84,2.41853609981843,670.833333333333,-2.021883484,0.702822491,12.39,3,6.95454545454545,0.040467818
Au6Y6,386.28,15.045,2.54,342.5,-4.462244036,0.977328654,10.27,1,7.5,0.420673845
Au6Y6,386.28,15.045,1.22,391.4,-0.202833634,0.328828918,10.27,1,7.5,0.241363614
Au6Y6,386.28,15.045,2.54,342.5,-4.462189147,0.977322531,10.27,2,7.33,0.357846025
Au6Y6,386.28,15.045,1.22,391.4,-0.203064998,0.328870048,10.27,2,7.33,-0.696251965
Au6Y6,386.28,15.045,1.98918765190077,358.8,-3.579097557,0.842866113,10.27,3,7.5,0.371146541
Au6Zn6,337.155,9.685,1.65,126.35,-7.102217726,0.997700516,3.224,2,7.33,0.626520889
Au6Zn6,337.155,9.685,2.04719320045764,234.425,-5.477775508,0.986088375,3.224,2,7.33,0.524432212
Au6Zn6,337.155,9.685,2.04719320045764,234.425,-5.477769307,0.986089009,3.224,2,7.33,0.542367235
Au6Zn6,337.155,9.685,2.19980301266537,270.45,-4.932875415,0.982192253,3.224,3,7.5,0.594304515
Au6Zn6,337.155,9.685,2.19980301266537,270.45,-4.932866633,0.982192297,3.224,3,6.95454545454545,0.587112274
Au6Zn6,337.155,9.685,1.90517058839828,198.4,-6.020972304,0.989970734,3.224,3,7.5,0.575155456
Au6Zn6,337.155,9.685,1.90517058839828,198.4,-6.020967029,0.98997115,3.224,3,6.95454545454545,0.581448769
Au6Zr6,365.51,12.115,1.33,601,-0.307384046,0.438951986,17.63,1,7.5,0.175130018
Au6Zr6,365.51,12.115,1.33,601,-0.307414574,0.438960423,17.63,2,7.33,-0.687288943
Au6Zr6,365.51,12.115,2.04726011124946,428.666666666667,-3.288372158,0.83952688,17.63,3,6.95454545454545,0.089334293
