surface,lattice_constant_alloy,molar_volume_alloy,EN_alloy,IE_alloy,EA_alloy,Sublimation Energy,d-Band_Center,d-Band_Width,d-Band_Filling,DOS at Fermi Energy,Work Function,CN,GCN,Valence Electrons,reaction energy (eV),site,Beta
Ag6Zn6,337.51,9.715,1.65,9.394197,0,126.35,-7.122105307,0.684009816,0.997780353,3.599,4.616971779,2,7.33,12,0.507622788,bridge|B_B|A,1
Ag6Zr6,365.865,12.145,1.93,7.576234,1.302,266.3,-4.524388882,1.647160075,0.983938604,19.31,4.207015591,2,7.33,11,-2.650263344,bridge|A_A|B,1
Ag6Zr6,365.865,12.145,1.33,6.634126,0.426,601,-0.192816484,3.335217634,0.443450268,19.31,4.207015591,2,7.33,4,-2.649893541,bridge|B_B|A,1
Ag6Zr6,365.865,12.145,1.60215479901288,7.10518,0.864,433.65,-2.793414069,3.252038388,0.767957826,19.31,4.207015591,2,7.33,6.6332495807108,-1.279304028,bridge|A_B|A,1
Ag6Zr6,365.865,12.145,1.70472927650953,7.262198,1.01,377.866666666667,-3.442478073,2.88620852,0.848923215,19.31,4.207015591,3,6.95454545454545,7.85142441053969,-1.186021091,hollow-tilt|A_A_B|FCC,1
Au12,407.82,10.21,2.54,9.225554,2.30863,342.5,-3.239426153,1.406590579,0.974485182,1.182,5.426721805,1,7.5,11,3.705461217,top|A,0.5
Au12,407.82,10.21,2.54,9.225554,2.30863,342.5,-3.239449459,1.406481978,0.974489352,1.182,5.426721805,3,7.5,11,2.619231618,hollow|A_A_A|HCP,0.5
Au12,407.82,10.21,2.54,9.225554,2.30863,342.5,-3.239430288,1.406537468,0.97448698,1.182,5.426721805,3,6.95454545454545,11,2.415031951,hollow|A_A_A|FCC,0.5
Au6Cd6,352.88,11.605,2.21743745658359,9.14830933333333,1.53908666666667,263.766666666667,-5.287642085,2.648811862,0.985456743,1.166,4.634060417,3,7.5,11.323713482402,1.696638083,hollow|A_A_B|HCP,1
Au6Cd6,352.88,11.605,2.21743745658359,9.14830933333333,1.53908666666667,263.766666666667,-5.287679895,2.648842373,0.985456713,1.166,4.634060417,3,6.95454545454545,11.323713482402,1.688520519,hollow|A_A_B|FCC,1
Au6Cd6,352.88,11.605,1.93583813931492,9.07106466666667,0.769543333333333,185.033333333333,-6.961471799,2.601346495,0.991402144,1.166,4.634060417,3,7.5,11.6569533665029,1.460941784,hollow|A_B_B|HCP,1
Au6Cd6,352.88,11.605,1.93583813931492,9.07106466666667,0.769543333333333,185.033333333333,-6.961507243,2.601298987,0.991402643,1.166,4.634060417,3,6.95454545454545,11.6569533665029,1.437884218,hollow|A_B_B|FCC,1
Au6Co6,329.265,8.44,1.88,7.88101,0.662,391.2,-1.431780002,1.058037363,0.492800818,9.621,5.131132189,1,7.5,9,1.327002455,top|B,1
Au6Co6,329.265,8.44,1.88,7.88101,0.662,391.2,-1.431682418,1.05817847,0.492799193,9.621,5.131132189,2,7.33,9,0.368093424,bridge|B_B|A,1
Au6Co6,329.265,8.44,1.88,7.88101,0.662,391.2,-1.431780002,1.058037363,0.492800818,9.621,5.131132189,1,7.5,9,1.357766285,top-tilt|B,1
Au6Co6,329.265,8.44,2.29760355307836,8.77737266666667,1.75975333333333,358.733333333333,-2.996437821,1.434561513,0.491176414,9.621,5.131132189,3,6.95454545454545,10.2882764781018,1.289035091,hollow-tilt|A_A_B|FCC,1
