Valence Electrons,reaction energy (eV)
4,-0.938004021
4,-0.946481048
5,-0.056472873
4,-0.68678009
5,-0.832894473
4.333333333,-1.012364978
4.666666667,-0.901478045
4,0.140013727
4,-0.731622682
4.666666667,-0.808410486
4.666666667,-0.853766285
5.333333333,-0.888731552
5.333333333,-0.823455796
4,-0.025439106
3,0.484828492
3,-0.433952728
3.666666667,-0.913387787
3.666666667,-0.979383012
3.333333333,-0.958903725
3.333333333,-0.923496408
12,0.588923872
4,-0.734239601
6.666666667,-0.760405659
6.666666667,-0.760068782
8,-0.057868137
4,0.252911854
4,0.3445251
4,-0.734806278
4,-0.698105468
4,-0.975953562
4,-0.946379821
4,-0.999504198
4,-0.910451815
3,-0.462176919
7.5,0.233785244
7,2.143894049
7,1.698413762
6,0.37534172
5,-0.644497001
9.666666667,0.344905243
7.333333333,0.346274248
5,0.125286245
12,1.098776088
10,0.155650068
10,-0.146243501
10,0.40942425
12,0.136303454
10,0.142725613
10,-0.153773571
10,-0.126653345
12,1.129916388
9,-0.140096449
9,-0.295523384
12,-0.66053022
3,-0.65310573
3,0.316608669
5,-0.754731405
5,-0.069288483
4,-0.66269924
9.333333333,0.285012035
9.333333333,0.236667066
9.333333333,0.247824957
3,0.335700856
3,-0.672301321
9,0.423720295
4,-0.683125057
9.333333333,0.243429366
9.333333333,0.142375675
9,-0.324119827
9,-0.121203722
9,-0.111492251
9,-0.157797318
3,1.062123171
9,-0.433537346
3,0.063654094
5,-0.848195706
7,0.939078327
9,0.398431532
8.333333333,0.387980591
7.666666667,0.187797733
9,-0.258390185
6,-0.428850593
8,-0.373053243
8,-0.36454125
7,-0.534108988
7,-0.605153013
5,-0.401377164
7.666666667,-0.477370532
7.666666667,-0.734541103
6.333333333,-0.476505074
6.333333333,-0.735502209
9,-0.2761033
10,-0.082068989
9.5,-0.237677288
9.5,-0.172858547
9.333333333,-0.275571589
9.333333333,-0.296902185
9.666666667,-0.273229505
9.666666667,-0.247733255
9,0.04062646
8,-0.187484666
8.5,-0.052142726
8.666666667,-0.058876591
8.666666667,-0.079557243
8.333333333,-0.160421856
8.333333333,-0.203481286
9,-0.361580107
9,0.041048781
10,-0.304953625
9.333333333,-0.331729491
9.666666667,-0.154298479
10,-0.355953201
9,-0.38702003
10,-0.273976186
9,-0.233587689
