Valence Electrons,Adsorption Energy (eV)
8,4.123640322
8.333333333,2.238418913
8.333333333,2.368107416
8.666666667,1.821629221
8.666666667,2.011659785
8,1.122265227
4.666666667,2.306475401
8.666666667,2.446262728
8.666666667,2.459908693
9.333333333,2.455657867
9.333333333,2.547684046
8,1.897778102
8,2.290951714
8,1.735675127
9,3.179107474
8.666666667,2.714901673
8.666666667,2.735028573
9.333333333,2.980894992
9.333333333,3.112910748
8.666666667,2.804689988
8.666666667,2.688282001
9.333333333,2.692470377
9.333333333,2.918515887
8.5,2.433436779
8,2.198671381
8,1.851054796
8,0.685548911
5,2.068991585
6,1.487429073
7.666666667,1.971814835
8,0.74276724
4.666666667,2.03319433
8,2.447612141
10.66666667,3.356291815
10.66666667,3.375789315
8,0.71299336
6,2.942794156
5.333333333,2.028816562
4,4.407675196
4,0.950402208
4,1.11796093
9.333333333,4.078481398
9.333333333,3.854677426
9,4.271978011
9,2.493743328
5.666666667,2.40158599
3.666666667,0.930602661
3.333333333,1.999209352
3.333333333,2.182109716
4.666666667,1.654156351
5,0.292246181
4.333333333,1.283404511
4.333333333,1.06621032
4.666666667,1.087564046
4.666666667,1.073717397
10,0.844061617
6,1.903107724
8,2.804761146
8,1.011314347
5.333333333,2.130970002
6,1.786092923
7,1.52354443
6,1.773905352
7,1.661174983
4,5.928886386
7,2.660024067
7,0.294637926
5.5,1.949428438
5,1.571825588
5.5,2.234383193
9,2.224105589
5.666666667,2.286033937
8,1.629171131
5.333333333,2.48609067
3.666666667,1.043287042
3.666666667,1.296586386
3.333333333,1.591667993
3.333333333,1.835366616
4.333333333,1.192598219
4.333333333,0.995830661
4.666666667,0.800998921
4.666666667,0.775250694
7,0.765883583
5,1.870942916
4,1.273914677
4,1.345748785
4,0.943924402
4,1.137666598
5,-0.028206232
4.333333333,1.389192304
4.5,1.237112369
4.666666667,1.279766213
4.666666667,1.051206508
5.333333333,0.905181922
5.333333333,0.838442738
3.666666667,0.843876579
3.666666667,1.15773513
