Sublimation Energy,reaction energy (eV)
738,3.503187164
611.8333333,1.121699638
548.75,0.74381379
411.9,1.709325663
411.9,1.790796547
464.3,1.965910509
464.3,2.329974199
605.7,3.575362231
441.5666667,1.572816899
441.5666667,1.731334911
523.6333333,1.542274842
523.6333333,1.796577469
359.5,0.571370488
359.5,3.239231162
771,4.881682537
359.5,0.334450221
771,1.691173901
633.8333333,1.393525717
359.5,3.750634428
573,3.586917817
573,1.552008082
501.8333333,1.422872514
466.25,0.871421847
359.5,0.347093718
415.6333333,1.660103535
415.6333333,1.660180544
401.6,1.47493932
359.5,1.808719052
398.2666667,1.268940845
398.2666667,1.215659594
437.0333333,1.419843479
437.0333333,1.30426816
359.5,3.68093655
835,4.173729405
676.5,1.209427779
597.25,0.708916143
359.5,2.033004122
359.5,2.049472043
204.0666667,3.047267366
204.0666667,2.945488763
359.5,2.507092008
601,5.481670149
359.5,0.077084136
520.5,1.5897134
480.25,1.614910189
313.1,5.956332468
313.1,4.163048937
313.1,4.110073135
329,3.037377661
329,3.005813952
344.9,2.438740686
344.9,2.517936833
655.5,2.220329193
541.3666667,1.966635285
541.3666667,1.97001766
484.3,0.587037715
404.0666667,2.925757925
404.0666667,3.114394721
495.0333333,1.76341999
495.0333333,1.831763421
406.2,5.916713781
313.1,1.93691161
375.1666667,2.64540516
359.65,3.437413984
233.2,2.804755296
273.15,2.508364413
420.7333333,2.813355726
420.7333333,2.624264908
528.3666667,1.896682708
528.3666667,2.057049597
313.1,2.267132774
582.2333333,2.130566865
582.2333333,2.198313687
340.4666667,3.544645748
340.4666667,3.531879392
367.8333333,2.669206141
367.8333333,2.7311134
661,3.187628718
661,1.965458392
429.0666667,2.981374864
429.0666667,3.106964381
545.0333333,1.989090391
545.0333333,1.884561941
313.1,5.897265669
396.7,5.179315075
396.7,3.17968626
354.9,2.796323032
510,4.212212697
378.7333333,3.555957248
378.7333333,3.479474756
444.3666667,2.582668906
444.3666667,2.732440771
738,3.18741266
454.7333333,2.847817991
454.7333333,2.664518163
596.3666667,1.617196081
596.3666667,1.630774834
380.9666667,3.084549956
380.9666667,3.120562589
448.8333333,1.987524103
448.8333333,2.099228059
605.7,3.274778209
410.6333333,3.053565441
410.6333333,3.038441354
508.1666667,2.115206311
508.1666667,2.11657518
334,2.527656876
327.0333333,2.714244246
323.55,1.377864069
313.1,1.932517652
618.3666667,1.887426756
618.3666667,1.886466602
399.7333333,2.971701217
399.7333333,2.721173625
486.3666667,1.885343588
486.3666667,1.992735356
313.1,2.539916284
400.1666667,2.176645126
400.1666667,2.333944612
367.3333333,2.743542199
367.3333333,2.716914091
421.5666667,2.130292847
421.5666667,2.241225631
313.1,2.997486317
487.0666667,2.768801166
487.0666667,2.681246906
661.0333333,1.650907584
661.0333333,1.683313349
313.1,1.70533974
391.4,2.755517929
365.3,2.82189112
313.1,4.243781575
188.6,4.724178557
188.6,4.617135096
313.1,4.712566371
601,4.938399905
505.0333333,2.009933222
457.05,0.687920655
360.8,2.945397469
655.5,5.521497683
360.8,0.662904005
557.2666667,1.993551289
360.8,4.123640322
435.8666667,2.238418913
435.8666667,2.368107416
510.9333333,1.821629221
510.9333333,2.011659785
360.8,1.122265227
391.0666667,2.306475401
372.2666667,2.446262728
372.2666667,2.459908693
383.7333333,2.455657867
383.7333333,2.547684046
460.8666667,1.897778102
460.8666667,2.290951714
560.9333333,1.735675127
378.75,3.179107474
372.7666667,2.714901673
372.7666667,2.735028573
384.7333333,2.980894992
384.7333333,3.112910748
410.5333333,2.804689988
410.5333333,2.688282001
460.2666667,2.692470377
460.2666667,2.918515887
438.75,2.433436779
442.4333333,2.198671381
524.0666667,1.851054796
360.8,0.685548911
771,2.068991585
634.2666667,1.487429073
431.5333333,1.971814835
360.8,0.74276724
381.2,2.03319433
360.8,2.447612141
204.5,3.356291815
204.5,3.375789315
360.8,0.71299336
480.9,2.942794156
520.9333333,2.028816562
655.5,4.407675196
655.5,0.950402208
655.5,1.11796093
259.4933333,4.078481398
259.4933333,3.854677426
586,4.271978011
586,2.493743328
632.3333333,2.40158599
572.4,0.930602661
489.3,1.999209352
489.3,2.182109716
649,1.654156351
645.75,0.292246181
675.9333333,1.283404511
675.9333333,1.06621032
696.3666667,1.087564046
696.3666667,1.073717397
395.2,0.844061617
568.7333333,1.903107724
661,2.804761146
661,1.011314347
657.3333333,2.130970002
569.2333333,1.786092923
526.1,1.52354443
607,1.773905352
582.75,1.661174983
655.5,5.928886386
738,2.660024067
738,0.294637926
696.75,1.949428438
683,1.571825588
696.75,2.234383193
516.7,2.224105589
609.2333333,2.286033937
605.7,1.629171131
638.9,2.48609067
548.3333333,1.043287042
548.3333333,1.296586386
441.1666667,1.591667993
441.1666667,1.835366616
694,1.192598219
694,0.995830661
732.5,0.800998921
732.5,0.775250694
573,0.765883583
628,1.870942916
584.9,1.273914677
584.9,1.345748785
514.3,0.943924402
514.3,1.137666598
475.8,-0.028206232
595.6,1.389192304
565.65,1.237112369
715.3333333,1.279766213
715.3333333,1.051206508
775.1666667,0.905181922
775.1666667,0.838442738
