surface,LC,EN,DBW,DBF,DOS,WF,CN,GCN,VE,RxnE
Au6V6,355.41,1.63,2.56026735,0.500816573,23.72,4.908096071,2,7.33,5,-1.79231467
Au6W6,362.17,2.36,4.135312059,0.552322519,12.39,5.261691295,1,7.5,6,-1.206209761
Au6W6,362.17,2.36,4.135358696,0.552315906,12.39,5.261691295,2,7.33,6,-1.470756114
Au6Y6,386.28,2.54,1.998310166,0.977328654,10.27,3.619740298,1,7.5,11,2.051169353
Au6Y6,386.28,1.22,3.080354468,0.328828918,10.27,3.619740298,1,7.5,3,-0.194579626
Au6Y6,386.28,1.22,3.08037374,0.328870048,10.27,3.619740298,2,7.33,3,-2.668131563
Au6Y6,386.28,1.98918765190077,2.848535324,0.842866113,10.27,3.619740298,3,7.5,7.13349248972831,-0.264507304
Au6Zn6,337.155,2.19980301266537,1.974881862,0.982192297,3.224,4.878878926,3,6.95454545454545,11.323713482402,1.583280901
Au6Zr6,365.51,1.33,3.401612297,0.438951986,17.63,4.287672424,1,7.5,4,-1.029638221
Au6Zr6,365.51,1.33,3.40159518,0.438960423,17.63,4.287672424,2,7.33,4,-2.61585142
Cd12,297.94,1.69,1.002389758,0.997127358,5.874,4.170427895,3,7.5,12,0.904440412
Cd12,297.94,1.69,1.002376305,0.99712752,5.874,4.170427895,3,6.95454545454545,12,1.025209024
Cd6Cu6,329.715,1.9,0.904693603,0.981120432,2.47,4.532363816,2,7.33,11,0.515538987
Cd6Cu6,329.715,1.75728554532174,3.043983372,0.991245472,2.47,4.532363816,3,6.95454545454545,11.6569533665029,0.993836339
Cd6Fe6,292.295,1.73543425805479,2.151379473,0.500951619,7.565,4.529892786,3,6.95454545454545,10.4829655768356,0.255223052
Cd6Fe6,292.295,1.73543425805479,2.151416495,0.500953062,7.565,4.529892786,3,7.5,10.4829655768356,0.292584827
Cd6Hf6,308.79,1.3,3.729192116,0.422422517,19.77,4.315376315,2,7.33,4,-3.057821302
Cd6Hf6,308.79,1.54847995275536,4.286516883,0.852266436,19.77,4.315376315,3,6.95454545454545,8.32033529220762,-1.216663831
Cd6Hf6,308.79,1.54847995275536,4.286293241,0.852289245,19.77,4.315376315,3,7.5,8.32033529220762,-1.335537849
Cd6Hg6,299.22,1.78758952719638,1.130886257,0.997719868,2.402,4.179511537,3,6.95454545454545,12,1.253113887
Cd6Ir6,340.92,2.2,1.997897859,0.837894833,15.17,4.798636258,2,7.33,9,0.653885609
Cd6Ir6,340.92,1.84529312352288,3.576946658,0.944702205,15.17,4.798636258,3,6.95454545454545,10.9027235569928,1.347396707
Cd6Ir6,340.92,2.01485604243835,3.72074757,0.891857717,15.17,4.798636258,3,7.5,9.90578174668388,0.610801961
Cd6La6,337.57,1.1,2.681331321,0.500253985,15.01,3.414327382,1,7.5,3,-0.795606714
Cd6La6,337.57,1.1,2.681630663,0.500437223,15.01,3.414327382,2,7.33,3,-2.799056688
Cd6Mn6,594.595,1.55,1.149690886,0.510954783,10.86,4.375860903,2,7.33,7,-0.203148899
Cd6Mn6,594.595,1.64198191385844,2.088389054,0.503199935,10.86,4.375860903,3,6.95454545454545,10.0265958699292,0.683898677
Cd6Mn6,594.595,1.64198191385844,2.088382203,0.50320421,10.86,4.375860903,3,7.5,10.0265958699292,0.790535328
Cd6Mo6,306.32,1.69,1.609621811,0.99691485,11.07,4.690440622,1,7.5,12,-0.662429711
Cd6Mo6,306.32,1.69,1.609629049,0.996914778,11.07,4.690440622,2,7.33,12,-1.133030867
Cd6Mo6,306.32,2.16,3.584019416,0.567137098,11.07,4.690440622,1,7.5,6,-0.665241191
Cd6Mo6,306.32,2.16,3.584035364,0.567162722,11.07,4.690440622,2,7.33,6,-1.130750281
Cd6Mo6,306.32,1.69,1.609629049,0.996914778,11.07,4.690440622,2,7.33,12,-1.130923889
Cd6Mo6,306.32,2.16,3.584035364,0.567162722,11.07,4.690440622,2,7.33,6,-1.130918719
Cd6Nb6,313.99,1.6,3.488152117,0.503323972,12.28,4.511302775,1,7.5,5,-1.103902985
Cd6Nb6,313.99,1.6,3.488438665,0.503417178,12.28,4.511302775,2,7.33,5,-1.934480681
Cd6Nb6,313.99,1.69,1.553846085,0.996072062,12.28,4.511302775,2,7.33,12,-1.934436598
Cd6Nb6,313.99,1.6,3.488438665,0.503417178,12.28,4.511302775,2,7.33,5,-1.934807762
Cd6Nb6,313.99,1.69,1.553776554,0.996073824,12.28,4.511302775,1,7.5,12,-1.090510903
Cd6Ni6,325.17,1.91,0.779839731,0.458058229,5.39,4.650906069,2,7.33,10,0.387133365
Cd6Ni6,325.17,1.76036310948176,2.607380366,0.484824003,5.39,4.650906069,3,6.95454545454545,11.2924323465723,0.905952413
Cd6Pd6,343.505,1.84529312352288,3.261908466,0.980592832,5.866,4.643512336,3,6.95454545454545,11.2924323465723,1.471312042
Cd6Pd6,343.505,2.01485604243835,3.319879114,0.964079794,5.866,4.643512336,3,7.5,10.6265856918261,1.744658965
Cd6Pd6,343.505,2.01485604243835,3.319903232,0.964080057,5.866,4.643512336,3,6.95454545454545,10.6265856918261,1.755822979
Cd6Pt6,345.18,1.86739454323688,3.314986286,0.974028229,7.281,4.923061134,3,7.5,11.2924323465723,1.829835086
Cd6Pt6,345.18,1.86739454323688,3.315038688,0.974025792,7.281,4.923061134,3,6.95454545454545,11.2924323465723,1.4217012
Cd6Pt6,345.18,2.0634096923733,3.404920123,0.951330046,7.281,4.923061134,3,7.5,10.6265856918261,1.685431483
Cd6Pt6,345.18,2.0634096923733,3.404915536,0.951329829,7.281,4.923061134,3,6.95454545454545,10.6265856918261,1.652899457
Cd6Re6,287.02,1.9,4.094714728,0.637021668,10.74,4.792191677,1,7.5,7,-0.204865257
