adsorbate,surface,reaction energy (eV),site,S. designation,ads_site,ads_indices,ads+neighbors_site,ads+neighbors_indices,Coordination_Number,lattice_constant_alloy,molar_volume_alloy,EN_alloy,IE_alloy,EA_alloy,Sublimation Energy,Valence Electrons,Beta
O,Ir6Re6,-0.415214289,hollow|A_B_B|FCC,L1_o,"['Re', 'Re', 'Ir']","[9, 10, 12]","['Re', 'Re', 'Ir', 'Ir', 'Re', 'Re', 'Ir', 'Ir']","[5, 6, 7, 8, 9, 10, 11, 12]",3,330.0,8.69,1.9951549388358207,8.211353333333332,0.6212666666666666,687.3333333333333,7.666666666666666,1.0
O,Ir6Rh6,0.604373815,hollow|A_A_B|HCP,L1_o,"['Rh', 'Ir', 'Ir']","[10, 11, 12]","['Rh', 'Rh', 'Ir', 'Ir', 'Rh', 'Rh', 'Ir', 'Ir']","[5, 6, 7, 8, 9, 10, 11, 12]",3,382.12,8.399999999999999,2.2263498100930366,8.464313333333331,1.421533333333333,562.9,9.0,1.0
O,Ir6Rh6,0.563892392,hollow|A_A_B|FCC,L1_o,"['Rh', 'Ir', 'Ir']","[9, 11, 12]","['Rh', 'Rh', 'Ir', 'Ir', 'Rh', 'Rh', 'Ir', 'Ir']","[5, 6, 7, 8, 9, 10, 11, 12]",3,382.12,8.399999999999999,2.2263498100930366,8.464313333333331,1.421533333333333,562.9,9.0,1.0
O,Ir6Rh6,0.826276936,hollow|A_B_B|HCP,L1_o,"['Rh', 'Rh', 'Ir']","[9, 10, 11]","['Rh', 'Rh', 'Ir', 'Ir', 'Rh', 'Rh', 'Ir', 'Ir']","[5, 6, 7, 8, 9, 10, 11, 12]",3,382.12,8.399999999999999,2.2530152167733184,7.961606666666666,1.2792666666666666,539.8,9.0,1.0
O,Ir6Rh6,0.736266713,hollow|A_B_B|FCC,L1_o,"['Rh', 'Rh', 'Ir']","[9, 10, 12]","['Rh', 'Rh', 'Ir', 'Ir', 'Rh', 'Rh', 'Ir', 'Ir']","[5, 6, 7, 8, 9, 10, 11, 12]",3,382.12,8.399999999999999,2.2530152167733184,7.961606666666666,1.2792666666666666,539.8,9.0,1.0
O,Ir6Ru6,0.57284725,hollow|A_A_B|HCP,L1_o,"['Ru', 'Ir', 'Ir']","[10, 11, 12]","['Ru', 'Ru', 'Ir', 'Ir', 'Ru', 'Ru', 'Ir', 'Ir']","[5, 6, 7, 8, 9, 10, 11, 12]",3,327.245,8.344999999999999,2.2,8.431513333333331,1.3925333333333332,592.5666666666666,8.666666666666666,1.0
O,Ir6Ru6,0.742627918,hollow|A_A_B|FCC,L1_o,"['Ru', 'Ir', 'Ir']","[9, 11, 12]","['Ru', 'Ru', 'Ir', 'Ir', 'Ru', 'Ru', 'Ir', 'Ir']","[5, 6, 7, 8, 9, 10, 11, 12]",3,327.245,8.344999999999999,2.2,8.431513333333331,1.3925333333333332,592.5666666666666,8.666666666666666,1.0
O,Ir6Ru6,0.175677102,hollow|A_B_B|HCP,L1_o,"['Ru', 'Ru', 'Ir']","[9, 10, 11]","['Ru', 'Ru', 'Ir', 'Ir', 'Ru', 'Ru', 'Ir', 'Ir']","[5, 6, 7, 8, 9, 10, 11, 12]",3,327.245,8.344999999999999,2.2,7.896006666666667,1.2212666666666667,599.1333333333333,8.333333333333332,1.0
O,Ir6Ru6,0.28486659,hollow|A_B_B|FCC,L1_o,"['Ru', 'Ru', 'Ir']","[9, 10, 12]","['Ru', 'Ru', 'Ir', 'Ir', 'Ru', 'Ru', 'Ir', 'Ir']","[5, 6, 7, 8, 9, 10, 11, 12]",3,327.245,8.344999999999999,2.2,7.896006666666667,1.2212666666666667,599.1333333333333,8.333333333333332,1.0
O,Ir6Sc6,-1.623614158,hollow|A_B_B|FCC,L1_o,"['Sc', 'Sc', 'Ir']","[9, 10, 11]","['Sc', 'Sc', 'Ir', 'Ir', 'Sc', 'Sc', 'Ir', 'Ir']","[5, 6, 7, 8, 9, 10, 11, 12]",3,357.4,11.76,1.5964923157138766,7.363333333333333,0.6466,418.0,5.0,1.0
O,Ir6Sc6,-0.784003371,4fold|A_A_B_B,L1_o,"['Sc', 'Sc', 'Ir', 'Ir']","[9, 10, 11, 12]","['Sc', 'Sc', 'Ir', 'Ir', 'Sc', 'Sc', 'Ir', 'Ir']","[5, 6, 7, 8, 9, 10, 11, 12]",5,357.4,11.76,1.7297398648351723,7.764255,0.8759,460.0,6.0,1.0
O,Ir6Ta6,-0.519659063,hollow|A_A_B|HCP,L1_o,"['Ta', 'Ir', 'Ir']","[10, 11, 12]","['Ta', 'Ta', 'Ir', 'Ir', 'Ta', 'Ta', 'Ir', 'Ir']","[5, 6, 7, 8, 9, 10, 11, 12]",3,357.015,9.684999999999999,1.9363277681965978,8.494536999999998,1.1498666666666666,647.6666666666666,7.666666666666666,1.0
O,Ir6Ta6,-1.924635874,hollow|A_B_B|HCP,L1_o,"['Ta', 'Ta', 'Ir']","[9, 10, 11]","['Ta', 'Ta', 'Ir', 'Ir', 'Ta', 'Ta', 'Ir', 'Ir']","[5, 6, 7, 8, 9, 10, 11, 12]",3,357.015,9.684999999999999,1.704256920858735,8.022053999999999,0.7359333333333333,709.3333333333333,6.333333333333333,1.0
O,Ir6Ta6,-1.976372334,hollow|A_B_B|FCC,L1_o,"['Ta', 'Ta', 'Ir']","[9, 10, 12]","['Ta', 'Ta', 'Ir', 'Ir', 'Ta', 'Ta', 'Ir', 'Ir']","[5, 6, 7, 8, 9, 10, 11, 12]",3,357.015,9.684999999999999,1.704256920858735,8.022053999999999,0.7359333333333333,709.3333333333333,6.333333333333333,1.0
O,Ir6Tc6,0.148154692,top|B,L1_o,['Tc'],[10],"['Tc', 'Tc', 'Ir', 'Tc', 'Tc', 'Ir', 'Ir']","[5, 6, 8, 9, 10, 11, 12]",1,328.7,8.575,1.9,7.11938,0.55,573.0,7.0,1.0
O,Ir6Tc6,0.24610615,hollow|A_A_B|HCP,L1_o,"['Tc', 'Ir', 'Ir']","[10, 11, 12]","['Tc', 'Tc', 'Ir', 'Ir', 'Tc', 'Tc', 'Ir', 'Ir']","[5, 6, 7, 8, 9, 10, 11, 12]",3,328.7,8.575,2.095075384189983,8.351139999999997,1.2258666666666667,581.6666666666666,8.333333333333332,1.0
O,Ir6Tc6,-0.605923096,hollow|A_B_B|HCP,L1_o,"['Tc', 'Tc', 'Ir']","[9, 10, 11]","['Tc', 'Tc', 'Ir', 'Ir', 'Tc', 'Tc', 'Ir', 'Ir']","[5, 6, 7, 8, 9, 10, 11, 12]",3,328.7,8.575,1.9951549388358207,7.7352599999999985,0.8879333333333334,577.3333333333333,7.666666666666666,1.0
O,Ir6Tc6,-0.297319471,hollow|A_B_B|FCC,L1_o,"['Tc', 'Tc', 'Ir']","[9, 10, 12]","['Tc', 'Tc', 'Ir', 'Ir', 'Tc', 'Tc', 'Ir', 'Ir']","[5, 6, 7, 8, 9, 10, 11, 12]",3,328.7,8.575,1.9951549388358207,7.7352599999999985,0.8879333333333334,577.3333333333333,7.666666666666666,1.0
O,Ir6Ti6,-0.470708505,top|B,L1_o,['Ti'],[10],"['Ti', 'Ti', 'Ir', 'Ti', 'Ti', 'Ir', 'Ir']","[5, 6, 8, 9, 10, 11, 12]",1,339.49,9.58,1.54,6.82812,0.079,443.7,4.0,1.0
O,Ir6Ti6,-2.058430031,hollow|A_B_B|FCC,L1_o,"['Ti', 'Ti', 'Ir']","[9, 10, 12]","['Ti', 'Ti', 'Ir', 'Ir', 'Ti', 'Ti', 'Ir', 'Ir']","[5, 6, 7, 8, 9, 10, 11, 12]",3,339.49,9.58,1.7344217358831535,7.541086666666667,0.5739333333333333,491.1333333333333,5.666666666666666,1.0
O,Ir6V6,-0.789379797,top|B,L1_o,['V'],[10],"['V', 'V', 'Ir', 'V', 'V', 'Ir', 'Ir']","[5, 6, 8, 9, 10, 11, 12]",1,343.45,8.42,1.63,6.746187,0.525,475.8,5.0,1.0
O,Ir6V6,-0.662328757,hollow|A_A_B|HCP,L1_o,"['V', 'Ir', 'Ir']","[10, 11, 12]","['V', 'V', 'Ir', 'Ir', 'V', 'V', 'Ir', 'Ir']","[5, 6, 7, 8, 9, 10, 11, 12]",3,343.45,8.42,1.9907237083920901,8.226742333333334,1.2175333333333334,549.2666666666667,7.666666666666666,1.0
O,Ir6V6,-1.598288931,hollow|A_B_B|HCP,L1_o,"['V', 'V', 'Ir']","[9, 10, 11]","['V', 'V', 'Ir', 'Ir', 'V', 'V', 'Ir', 'Ir']","[5, 6, 7, 8, 9, 10, 11, 12]",3,343.45,8.42,1.8013549468883434,7.4864646666666665,0.8712666666666667,512.5333333333333,6.333333333333333,1.0
