adsorbate,surface,reaction energy (eV),site,S. designation,ads_site,ads_indices,ads+neighbors_site,ads+neighbors_indices,Coordination_Number,lattice_constant_alloy,molar_volume_alloy,EN_alloy,IE_alloy,EA_alloy,Sublimation Energy
H,Ag6Mn6,3.026536918,top|B,L1_o,['Mn'],[10],"['Mn', 'Mn', 'Ag', 'Mn', 'Mn', 'Ag', 'Ag']","[5, 6, 8, 9, 10, 11, 12]",1,649.89,8.81,1.55,7.434038,0,233.2
H,Ag6Mn6,2.448340998,bridge|A_A|B,L1_o,"['Ag', 'Ag']","[11, 12]","['Mn', 'Mn', 'Ag', 'Ag', 'Mn', 'Mn', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",2,649.89,8.81,1.93,7.576234,1.302,266.3
H,Ag6Mn6,2.436977796,bridge|B_B|A,L1_o,"['Mn', 'Mn']","[9, 10]","['Mn', 'Mn', 'Ag', 'Ag', 'Mn', 'Mn', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",2,649.89,8.81,1.55,7.434038,0,233.2
H,Ag6Mo6,0.540172501,top|A,L1_o,['Ag'],[12],"['Mo', 'Ag', 'Ag', 'Mo', 'Mo', 'Ag', 'Ag']","[6, 7, 8, 9, 10, 11, 12]",1,361.615,9.825,1.93,7.576234,1.302,266.3
H,Ag6Mo6,-0.616801254,bridge|B_B|A,L1_o,"['Mo', 'Mo']","[9, 10]","['Mo', 'Mo', 'Ag', 'Ag', 'Mo', 'Mo', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",2,361.615,9.825,2.16,7.09243,0.748,636
H,Ag6Mo6,-0.296937832,hollow|A_A_B|FCC,L1_o,"['Mo', 'Ag', 'Ag']","[9, 11, 12]","['Mo', 'Mo', 'Ag', 'Ag', 'Mo', 'Mo', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",3,361.615,9.825,2.003808078,7.414966,1.117333333,389.5333333
H,Ag6Mo6,-0.251448425,hollow|A_B_B|HCP,L1_o,"['Mo', 'Mo', 'Ag']","[9, 10, 11]","['Mo', 'Mo', 'Ag', 'Ag', 'Mo', 'Mo', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",3,361.615,9.825,2.080438763,7.253698,0.932666667,512.7666667
H,Ag6Mo6,-0.602948211,hollow|A_B_B|FCC,L1_o,"['Mo', 'Mo', 'Ag']","[9, 10, 12]","['Mo', 'Mo', 'Ag', 'Ag', 'Mo', 'Mo', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",3,361.615,9.825,2.080438763,7.253698,0.932666667,512.7666667
H,Ag6Nb6,-0.659415914,bridge|B_B|A,L1_o,"['Nb', 'Nb']","[9, 10]","['Nb', 'Nb', 'Ag', 'Ag', 'Nb', 'Nb', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",2,369.285,10.55,1.6,6.75885,0.916,716.8
H,Ag6Nb6,-0.157808611,hollow|A_A_B|HCP,L1_o,"['Nb', 'Ag', 'Ag']","[10, 11, 12]","['Nb', 'Nb', 'Ag', 'Ag', 'Nb', 'Nb', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",3,369.285,10.55,1.813057316,7.303772667,1.173333333,416.4666667
