adsorbate,surface,lattice_constant_alloy,molar_volume_alloy,EN_alloy,IE_alloy,EA_alloy,Sublimation Energy,CN,GCN,Valence Electrons,reaction energy (eV),site,Beta,S. designation,ads_site,ads_indices,ads+neighbors_site,ads+neighbors_indices
C,Zn12,266.49,9.16,1.65,9.394197,0.0,126.35,3,6.954545454545454,12,4.489099412,hollow|A_A_A|FCC,1.0,A1,"['Zn', 'Zn', 'Zn']","[9, 10, 11]","['Zn', 'Zn', 'Zn', 'Zn', 'Zn', 'Zn', 'Zn', 'Zn']","[5, 6, 7, 8, 9, 10, 11, 12]"
C,Zr12,323.2,14.02,1.33,6.634126,0.426,601.0,1,7.5,4,4.374206827,top|A,1.0,A1,['Zr'],[9],"['Zr', 'Zr', 'Zr', 'Zr', 'Zr', 'Zr', 'Zr', 'Zr']","[5, 6, 7, 8, 9, 10, 11, 12]"
C,Zr12,323.2,14.02,1.33,6.634126,0.426,601.0,3,7.5,4,1.262184122,hollow|A_A_A|HCP,1.0,A1,"['Zr', 'Zr', 'Zr']","[10, 11, 12]","['Zr', 'Zr', 'Zr', 'Zr', 'Zr', 'Zr', 'Zr', 'Zr']","[5, 6, 7, 8, 9, 10, 11, 12]"
C,Zr12,323.2,14.02,1.33,6.634126,0.426,601.0,3,6.954545454545454,4,1.282841508,hollow|A_A_A|FCC,1.0,A1,"['Zr', 'Zr', 'Zr']","[9, 10, 11]","['Zr', 'Zr', 'Zr', 'Zr', 'Zr', 'Zr', 'Zr', 'Zr']","[5, 6, 7, 8, 9, 10, 11, 12]"
H,Ag12,408.53,10.27,1.93,7.576234,1.302,266.3,1,7.5,11,0.844867346,top|A,0.5,A1,['Ag'],[9],"['Ag', 'Ag', 'Ag', 'Ag', 'Ag', 'Ag', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]"
H,Ag12,408.53,10.27,1.93,7.576234,1.302,266.3,2,7.33,11,0.462215151,bridge|A_A|A,0.5,A1,"['Ag', 'Ag']","[11, 12]","['Ag', 'Ag', 'Ag', 'Ag', 'Ag', 'Ag', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]"
H,Ag12,408.53,10.27,1.93,7.576234,1.302,266.3,3,7.5,11,0.355347475,hollow|A_A_A|HCP,0.5,A1,"['Ag', 'Ag', 'Ag']","[10, 11, 12]","['Ag', 'Ag', 'Ag', 'Ag', 'Ag', 'Ag', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]"
H,Ag12,408.53,10.27,1.93,7.576234,1.302,266.3,3,6.954545454545454,11,0.338155323,hollow|A_A_A|FCC,0.5,A1,"['Ag', 'Ag', 'Ag']","[9, 10, 11]","['Ag', 'Ag', 'Ag', 'Ag', 'Ag', 'Ag', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]"
H,Au12,407.82,10.21,2.54,9.225554,2.30863,342.5,1,7.5,11,0.534248174,top|A,0.5,A1,['Au'],[9],"['Au', 'Au', 'Au', 'Au', 'Au', 'Au', 'Au', 'Au']","[5, 6, 7, 8, 9, 10, 11, 12]"
H,Au12,407.82,10.21,2.54,9.225554,2.30863,342.5,2,7.33,11,0.39593203,bridge|A_A|A,0.5,A1,"['Au', 'Au']","[11, 12]","['Au', 'Au', 'Au', 'Au', 'Au', 'Au', 'Au', 'Au']","[5, 6, 7, 8, 9, 10, 11, 12]"
H,Au12,407.82,10.21,2.54,9.225554,2.30863,342.5,3,7.5,11,0.371106676,hollow|A_A_A|HCP,0.5,A1,"['Au', 'Au', 'Au']","[10, 11, 12]","['Au', 'Au', 'Au', 'Au', 'Au', 'Au', 'Au', 'Au']","[5, 6, 7, 8, 9, 10, 11, 12]"
H,Au12,407.82,10.21,2.54,9.225554,2.30863,342.5,3,6.954545454545454,11,0.322403197,hollow|A_A_A|FCC,0.5,A1,"['Au', 'Au', 'Au']","[9, 10, 11]","['Au', 'Au', 'Au', 'Au', 'Au', 'Au', 'Au', 'Au']","[5, 6, 7, 8, 9, 10, 11, 12]"
