Metal,D-Band Center,D-Band Width,D-Band Filling,Adsorption Site
Co2Cu2,-2.542816748,1.629618749,0.978820975,hollow|A_A_A|HCP
Co2Cu2,-2.491206273,1.6752035,0.975814344,hollow|A_A_B|FCC
Co2Cu2,-2.542858543,1.629677353,0.978820802,hollow|A_A_B|HCP
Co2Cu2,-2.542816748,1.629618749,0.978820975,hollow|A_B_B|FCC
Co2Cu2,-2.491160762,1.675221636,0.975812722,hollow|A_B_B|HCP
Co2Cu2,-2.439516764,1.718398977,0.972801599,top|A
Co2Cu2,-2.594324758,1.581086611,0.98181853,top|B
Co2Fe2,-2.635024089,1.867019158,0.993853252,4fold|A_A_B_B
Co2Fe2,-2.529300986,1.208524272,0.993613962,bridge|A_A|A
Co2Fe2,-2.529300986,1.208524272,0.993613962,bridge|A_A|B
Co2Fe2,-2.635046535,1.867198126,0.993854206,bridge|A_B|A
Co2Fe2,-2.634816471,1.867119185,0.993854734,bridge|A_B|B
Co2Fe2,-2.739970706,2.339698814,0.994089407,bridge|B_B|A
Co2Fe2,-2.635238282,1.867085186,0.993851859,bridge|B_B|B
Co2Fe2,-2.59977536,1.677770474,0.993773705,hollow|A_A_A|FCC
Co2Fe2,-2.670131141,2.037615307,0.993931822,hollow|A_A_A|HCP
Co2Fe2,-2.599919743,1.677836564,0.993773379,hollow|A_A_B|FCC
Co2Fe2,-2.670009736,2.037708753,0.993933582,hollow|A_A_B|HCP
Co2Fe2,-2.670131141,2.037615307,0.993931822,hollow|A_B_B|FCC
Co2Fe2,-2.59977536,1.677770474,0.993773705,hollow|A_B_B|HCP
Co2Fe2,-2.529120391,1.208577629,0.9936172,top|A
Co2Fe2,-2.7397545,2.339894124,0.994090565,top|B
Co2Hf2,-0.989350773,5.326509626,0.669386897,4fold|A_A_B_B
Co2Hf2,-1.183450813,2.347802015,0.84845364,bridge|A_A|A
Co2Hf2,-1.183450813,2.347802015,0.84845364,bridge|A_A|B
