adsorbate,surface,reaction energy (eV),site,S. designation
O,Cd6Zn6,0.326952805,hollow|A_B_B|FCC,L1_o
O,Cd6Zr6,-2.738200741,bridge|B_B|A,L1_o
O,Cd6Zr6,-0.006902031,bridge|A_B|A,L1_o
O,Cd6Zr6,-1.125139701,hollow|A_A_B|FCC,L1_o
O,Cd6Zr6,-1.178505987,hollow-tilt|A_A_B|HCP,L1_o
O,Co6Cr6,-1.052053734,hollow|A_A_B|FCC,L1_o
O,Co6Cr6,-1.63317964,hollow|A_B_B|FCC,L1_o
O,Co6Cu6,0.062586591,bridge|A_A|B,L1_o
O,Co6Cu6,-0.079230978,hollow|A_A_B|HCP,L1_o
O,Co6Cu6,-0.097794856,hollow|A_A_B|FCC,L1_o
O,Co6Cu6,0.513194183,hollow|A_B_B|HCP,L1_o
O,Co6Cu6,0.423933905,hollow|A_B_B|FCC,L1_o
O,Co6Fe6,1.174589589,hollow|A_B_B|HCP,L1_o
O,Co6Fe6,1.080796439,4fold|A_A_B_B,L1_o
O,Co6Hf6,-2.702924719,hollow|A_B_B|FCC,L1_o
O,Co6Hf6,-1.766781004,4fold|A_A_B_B,L1_o
O,Co6Hg6,1.065374795,top|A,L1_o
O,Co6Hg6,3.657370267,top|B,L1_o
O,Co6Hg6,1.080803377,top-tilt|A,L1_o
O,Co6Ir6,1.358237858,top|B,L1_o
O,Co6Ir6,0.374171766,hollow|A_A_B|HCP,L1_o
O,Co6Ir6,0.353940647,hollow|A_A_B|FCC,L1_o
O,Co6Ir6,0.290400977,hollow|A_B_B|HCP,L1_o
O,Co6Ir6,0.367625252,hollow|A_B_B|FCC,L1_o
O,Co6La6,-1.707129705,bridge|B_B|A,L1_o
O,Co6La6,-1.999080914,hollow|A_B_B|FCC,L1_o
O,Co6La6,-1.935813222,4fold|A_A_B_B,L1_o
O,Co6Mo6,-0.963782318,hollow|A_A_B|HCP,L1_o
O,Co6Mo6,-0.773796653,hollow|A_A_B|FCC,L1_o
O,Co6Mo6,-1.365285334,hollow|A_B_B|FCC,L1_o
O,Co6Ni6,-0.032668627,hollow|A_A_B|HCP,L1_o
O,Co6Ni6,-0.073014946,hollow|A_A_B|FCC,L1_o
O,Co6Ni6,0.181381153,hollow|A_B_B|HCP,L1_o
O,Co6Ni6,0.183127715,hollow|A_B_B|FCC,L1_o
O,Co6Os6,1.652553737,top|A,L1_o
O,Co6Os6,0.42683491,top|B,L1_o
O,Co6Os6,-0.017137185,hollow|A_A_B|HCP,L1_o
O,Co6Os6,0.215091295,hollow|A_A_B|FCC,L1_o
O,Co6Os6,-0.380181265,hollow|A_B_B|HCP,L1_o
O,Co6Os6,-0.334788731,hollow|A_B_B|FCC,L1_o
O,Co6Pd6,1.212888115,top|A,L1_o
O,Co6Pd6,0.175269884,hollow|A_A_B|HCP,L1_o
O,Co6Pd6,0.158548625,hollow|A_A_B|FCC,L1_o
