adsorbate,surface,reaction energy (eV),site,S. designation,ads_site,ads_indices,ads+neighbors_site,ads+neighbors_indices,Coordination_Number,lattice_constant_alloy,molar_volume_alloy,EN_alloy,IE_alloy,EA_alloy,Sublimation Energy,Valence Electrons,Beta,d-Band_Center,d-Band_Width,d-Band_Filling,DOS at Fermi Energy,Work Function
C,Re12,1.382594223,hollow|A_A_A|HCP,A1,"['Re', 'Re', 'Re']","[10, 11, 12]","['Re', 'Re', 'Re', 'Re', 'Re', 'Re', 'Re', 'Re']","[5, 6, 7, 8, 9, 10, 11, 12]",3,276.1,8.86,1.9,7.83352,0.15,738.0,7,1.0,-1.66973535,5.768306801,0.674920883,6.086,5.342665688
C,Re12,1.640166843,hollow|A_A_A|FCC,A1,"['Re', 'Re', 'Re']","[9, 10, 11]","['Re', 'Re', 'Re', 'Re', 'Re', 'Re', 'Re', 'Re']","[5, 6, 7, 8, 9, 10, 11, 12]",3,276.1,8.86,1.9,7.83352,0.15,738.0,7,1.0,-1.669677878,5.768222246,0.674914676,6.086,5.342665688
C,Rh12,3.724234623,top|A,A1,['Rh'],[9],"['Rh', 'Rh', 'Rh', 'Rh', 'Rh', 'Rh', 'Rh']","[5, 6, 8, 9, 10, 11, 12]",1,380.34,8.28,2.28,7.4589,1.137,516.7,9,1.0,-1.835742602,3.478620815,0.817456423,7.762,5.287723878
C,Rh12,1.926347062,hollow|A_A_A|HCP,A1,"['Rh', 'Rh', 'Rh']","[10, 11, 12]","['Rh', 'Rh', 'Rh', 'Rh', 'Rh', 'Rh', 'Rh', 'Rh']","[5, 6, 7, 8, 9, 10, 11, 12]",3,380.34,8.28,2.28,7.4589,1.137,516.7,9,1.0,-1.835835436,3.478811073,0.81745264,7.762,5.287723878
C,Rh12,2.219680338,hollow|A_A_A|FCC,A1,"['Rh', 'Rh', 'Rh']","[9, 10, 11]","['Rh', 'Rh', 'Rh', 'Rh', 'Rh', 'Rh', 'Rh', 'Rh']","[5, 6, 7, 8, 9, 10, 11, 12]",3,380.34,8.28,2.28,7.4589,1.137,516.7,9,1.0,-1.835801099,3.478736958,0.817455784,7.762,5.287723878
C,Ru12,3.567144257,top|A,A1,['Ru'],[9],"['Ru', 'Ru', 'Ru', 'Ru', 'Ru', 'Ru', 'Ru']","[5, 6, 8, 9, 10, 11, 12]",1,270.59,8.17,2.2,7.3605,1.05,605.7,8,1.0,-1.595690672,4.099414512,0.733848136,12.0,5.210094992
C,Ru12,1.59930963,hollow|A_A_A|HCP,A1,"['Ru', 'Ru', 'Ru']","[9, 11, 12]","['Ru', 'Ru', 'Ru', 'Ru', 'Ru', 'Ru', 'Ru', 'Ru']","[5, 6, 7, 8, 9, 10, 11, 12]",3,270.59,8.17,2.2,7.3605,1.05,605.7,8,1.0,-1.595447664,4.099610849,0.733800626,12.0,5.210094992
C,Ru12,2.166237452,hollow|A_A_A|FCC,A1,"['Ru', 'Ru', 'Ru']","[9, 10, 11]","['Ru', 'Ru', 'Ru', 'Ru', 'Ru', 'Ru', 'Ru', 'Ru']","[5, 6, 7, 8, 9, 10, 11, 12]",3,270.59,8.17,2.2,7.3605,1.05,605.7,8,1.0,-1.594865863,4.099737971,0.733729242,12.0,5.210094992
C,Sc12,4.55285514,top|A,A1,['Sc'],[9],"['Sc', 'Sc', 'Sc', 'Sc', 'Sc', 'Sc', 'Sc']","[5, 6, 8, 9, 10, 11, 12]",1,330.9,15.0,1.36,6.56149,0.188,334.0,3,1.0,-0.363112902,3.468847638,0.472897601,22.27,3.86053211
C,Sc12,1.560266056,hollow|A_A_A|HCP,A1,"['Sc', 'Sc', 'Sc']","[10, 11, 12]","['Sc', 'Sc', 'Sc', 'Sc', 'Sc', 'Sc', 'Sc', 'Sc']","[5, 6, 7, 8, 9, 10, 11, 12]",3,330.9,15.0,1.36,6.56149,0.188,334.0,3,1.0,-0.363940768,3.469194543,0.473039478,22.27,3.86053211
C,Sc12,1.980335128,hollow|A_A_A|FCC,A1,"['Sc', 'Sc', 'Sc']","[9, 10, 11]","['Sc', 'Sc', 'Sc', 'Sc', 'Sc', 'Sc', 'Sc', 'Sc']","[5, 6, 7, 8, 9, 10, 11, 12]",3,330.9,15.0,1.36,6.56149,0.188,334.0,3,1.0,-0.36358017,3.469016115,0.472964565,22.27,3.86053211
C,Ta12,4.260301334,top|A,A1,['Ta'],[9],"['Ta', 'Ta', 'Ta', 'Ta', 'Ta', 'Ta', 'Ta']","[5, 6, 8, 9, 10, 11, 12]",1,330.13,10.85,1.5,7.549571,0.322,771.0,5,1.0,0.065880794,5.657391958,0.468856408,35.67,4.871340707
C,Ta12,0.752288639,hollow|A_A_A|HCP,A1,"['Ta', 'Ta', 'Ta']","[9, 10, 11]","['Ta', 'Ta', 'Ta', 'Ta', 'Ta', 'Ta', 'Ta', 'Ta']","[5, 6, 7, 8, 9, 10, 11, 12]",3,330.13,10.85,1.5,7.549571,0.322,771.0,5,1.0,0.065918436,5.657201127,0.468845798,35.67,4.871340707
