adsorbate,surface,lattice_constant_alloy,molar_volume_alloy,EN_alloy,IE_alloy,EA_alloy,Sublimation Energy,CN,GCN,Valence Electrons,reaction energy (eV),site,Beta,S. designation,ads_site,ads_indices,ads+neighbors_site,ads+neighbors_indices
C,Fe6Pt6,339.535,8.09,1.969150947817472,8.254588733333332,0.81,410.5333333333333,3,7.5,8.666666666666666,2.804689988,hollow|A_A_B|HCP,1.0,L1_o,"['Fe', 'Fe', 'Pt']","[9, 10, 11]","['Fe', 'Fe', 'Pt', 'Pt', 'Fe', 'Fe', 'Pt', 'Pt']","[5, 6, 7, 8, 9, 10, 11, 12]"
C,Fe6Pt6,339.535,8.09,1.969150947817472,8.254588733333332,0.81,410.5333333333333,3,6.954545454545454,8.666666666666666,2.688282001,hollow|A_A_B|FCC,1.0,L1_o,"['Fe', 'Fe', 'Pt']","[9, 10, 12]","['Fe', 'Fe', 'Pt', 'Pt', 'Fe', 'Fe', 'Pt', 'Pt']","[5, 6, 7, 8, 9, 10, 11, 12]"
C,Fe6Pt6,339.535,8.09,2.1188827624537976,8.606709366666665,1.469,460.26666666666665,3,7.5,9.333333333333332,2.692470377,hollow|A_B_B|HCP,1.0,L1_o,"['Fe', 'Pt', 'Pt']","[10, 11, 12]","['Fe', 'Fe', 'Pt', 'Pt', 'Fe', 'Fe', 'Pt', 'Pt']","[5, 6, 7, 8, 9, 10, 11, 12]"
C,Fe6Pt6,339.535,8.09,2.1188827624537976,8.606709366666665,1.469,460.26666666666665,3,6.954545454545454,9.333333333333332,2.918515887,hollow|A_B_B|FCC,1.0,L1_o,"['Fe', 'Pt', 'Pt']","[9, 11, 12]","['Fe', 'Fe', 'Pt', 'Pt', 'Fe', 'Fe', 'Pt', 'Pt']","[5, 6, 7, 8, 9, 10, 11, 12]"
C,Fe6Rh6,333.495,7.685,2.042645343665904,7.68068405,0.644,438.75000000000006,5,7.615384615,8.5,2.433436779,4fold|A_A_B_B,1.0,L1_o,"['Fe', 'Fe', 'Rh', 'Rh']","[9, 10, 11, 12]","['Fe', 'Fe', 'Rh', 'Rh', 'Fe', 'Fe', 'Rh', 'Rh']","[5, 6, 7, 8, 9, 10, 11, 12]"
C,Fe6Ru6,278.62,7.63,1.9458451971738455,7.721812066666667,0.4506666666666666,442.4333333333334,3,6.954545454545454,8.0,2.198671381,hollow|A_A_B|FCC,1.0,L1_o,"['Fe', 'Fe', 'Ru']","[9, 10, 12]","['Fe', 'Fe', 'Ru', 'Ru', 'Fe', 'Fe', 'Ru', 'Ru']","[5, 6, 7, 8, 9, 10, 11, 12]"
C,Fe6Ru6,278.62,7.63,2.069023787630887,7.541156033333333,0.7503333333333334,524.0666666666666,3,6.954545454545454,8.0,1.851054796,hollow|A_B_B|FCC,1.0,L1_o,"['Fe', 'Ru', 'Ru']","[9, 11, 12]","['Fe', 'Fe', 'Ru', 'Ru', 'Fe', 'Fe', 'Ru', 'Ru']","[5, 6, 7, 8, 9, 10, 11, 12]"
C,Fe6Ta6,308.39,8.969999999999999,1.83,7.9024681,0.151,360.8,2,7.33,8.0,0.685548911,bridge|A_A|B,1.0,L1_o,"['Fe', 'Fe']","[9, 10]","['Fe', 'Fe', 'Ta', 'Ta', 'Fe', 'Fe', 'Ta', 'Ta']","[5, 6, 7, 8, 9, 10, 11, 12]"
C,Fe6Ta6,308.39,8.969999999999999,1.5,7.549571,0.322,771.0,2,7.33,5.0,2.068991585,bridge|B_B|A,1.0,L1_o,"['Ta', 'Ta']","[11, 12]","['Fe', 'Fe', 'Ta', 'Ta', 'Fe', 'Fe', 'Ta', 'Ta']","[5, 6, 7, 8, 9, 10, 11, 12]"
C,Fe6Ta6,308.39,8.969999999999999,1.602794595223315,7.667203366666667,0.2649999999999999,634.2666666666667,3,6.954545454545454,6.0,1.487429073,hollow|A_B_B|FCC,1.0,L1_o,"['Fe', 'Ta', 'Ta']","[10, 11, 12]","['Fe', 'Fe', 'Ta', 'Ta', 'Fe', 'Fe', 'Ta', 'Ta']","[5, 6, 7, 8, 9, 10, 11, 12]"
