adsorbate,surface,reaction energy (eV),site,S. designation,ads_site,ads_indices,ads+neighbors_site,ads+neighbors_indices,Coordination_Number,lattice_constant_alloy,molar_volume_alloy,EN_alloy,IE_alloy,EA_alloy,Sublimation Energy
C,Mo6Rh6,1.749373745,hollow|A_A_B|HCP,L1_o,"['Mo', 'Mo', 'Rh']","[9, 10, 11]","['Mo', 'Mo', 'Rh', 'Rh', 'Mo', 'Mo', 'Rh', 'Rh']","[5, 6, 7, 8, 9, 10, 11, 12]",3,347.52,8.83,2.199281308,7.214586667,0.877666667,596.2333333
C,Mo6Rh6,1.755178206,hollow|A_A_B|FCC,L1_o,"['Mo', 'Mo', 'Rh']","[9, 10, 12]","['Mo', 'Mo', 'Rh', 'Rh', 'Mo', 'Mo', 'Rh', 'Rh']","[5, 6, 7, 8, 9, 10, 11, 12]",3,347.52,8.83,2.199281308,7.214586667,0.877666667,596.2333333
C,Mo6Rh6,1.923733545,hollow|A_B_B|HCP,L1_o,"['Mo', 'Rh', 'Rh']","[10, 11, 12]","['Mo', 'Mo', 'Rh', 'Rh', 'Mo', 'Mo', 'Rh', 'Rh']","[5, 6, 7, 8, 9, 10, 11, 12]",3,347.52,8.83,2.239276978,7.336743333,1.007333333,556.4666667
C,Mo6Rh6,2.37558007,hollow|A_B_B|FCC,L1_o,"['Mo', 'Rh', 'Rh']","[9, 11, 12]","['Mo', 'Mo', 'Rh', 'Rh', 'Mo', 'Mo', 'Rh', 'Rh']","[5, 6, 7, 8, 9, 10, 11, 12]",3,347.52,8.83,2.239276978,7.336743333,1.007333333,556.4666667
C,Mo6Ru6,1.666186776,hollow|A_A_B|HCP,L1_o,"['Mo', 'Mo', 'Ru']","[9, 10, 11]","['Mo', 'Mo', 'Ru', 'Ru', 'Mo', 'Mo', 'Ru', 'Ru']","[5, 6, 7, 8, 9, 10, 11, 12]",3,292.645,8.775,2.173251865,7.181786667,0.848666667,625.9
C,Mo6Ru6,1.695728951,hollow|A_A_B|FCC,L1_o,"['Mo', 'Mo', 'Ru']","[9, 10, 12]","['Mo', 'Mo', 'Ru', 'Ru', 'Mo', 'Mo', 'Ru', 'Ru']","[5, 6, 7, 8, 9, 10, 11, 12]",3,292.645,8.775,2.173251865,7.181786667,0.848666667,625.9
C,Mo6Ru6,1.375850154,hollow|A_B_B|HCP,L1_o,"['Mo', 'Ru', 'Ru']","[10, 11, 12]","['Mo', 'Mo', 'Ru', 'Ru', 'Mo', 'Mo', 'Ru', 'Ru']","[5, 6, 7, 8, 9, 10, 11, 12]",3,292.645,8.775,2.186585032,7.271143333,0.949333333,615.8
C,Mo6Ru6,1.707572434,hollow|A_B_B|FCC,L1_o,"['Mo', 'Ru', 'Ru']","[9, 11, 12]","['Mo', 'Mo', 'Ru', 'Ru', 'Mo', 'Mo', 'Ru', 'Ru']","[5, 6, 7, 8, 9, 10, 11, 12]",3,292.645,8.775,2.186585032,7.271143333,0.949333333,615.8
C,Mo6Sc6,1.077728899,hollow|A_A_B|HCP,L1_o,"['Sc', 'Mo', 'Mo']","[10, 11, 12]","['Sc', 'Sc', 'Mo', 'Mo', 'Sc', 'Sc', 'Mo', 'Mo']","[5, 6, 7, 8, 9, 10, 11, 12]",3,322.8,12.19,1.851322745,6.91545,0.561333333,535.3333333
C,Mo6Sc6,1.077728899,hollow|A_A_B|HCP,L1_o,"['Sc', 'Mo', 'Mo']","[10, 11, 12]","['Sc', 'Sc', 'Mo', 'Mo', 'Sc', 'Sc', 'Mo', 'Mo']","[5, 6, 7, 8, 9, 10, 11, 12]",3,322.8,12.19,1.851322745,6.91545,0.561333333,535.3333333
C,Mo6Sc6,1.077728899,hollow|A_A_B|HCP,L1_o,"['Sc', 'Mo', 'Mo']","[10, 11, 12]","['Sc', 'Sc', 'Mo', 'Mo', 'Sc', 'Sc', 'Mo', 'Mo']","[5, 6, 7, 8, 9, 10, 11, 12]",3,322.8,12.19,1.851322745,6.91545,0.561333333,535.3333333
C,Mo6Sc6,1.240894207,hollow|A_A_B|FCC,L1_o,"['Sc', 'Mo', 'Mo']","[9, 11, 12]","['Sc', 'Sc', 'Mo', 'Mo', 'Sc', 'Sc', 'Mo', 'Mo']","[5, 6, 7, 8, 9, 10, 11, 12]",3,322.8,12.19,1.851322745,6.91545,0.561333333,535.3333333
