Adsorption Energy, d-Band Center and Width, Surface
-0.729951087,1.2994462765,Nb6Rh6
-0.727723835,1.9080313160000002,La6Ta6
-0.725657266,1.1708864900000002,Mo6Re6
-0.723656957,1.4747923330000001,Ag6Zr6
-0.723307155,-3.7008088445,Ag6Zr6
-0.722673946,1.450539597,Ag6W6
-0.72132535,1.4432179425,La6Nb6
-0.718384752,1.4496563599999999,Mo6Sc6
-0.718384752,1.4496563599999999,Mo6Sc6
-0.718384752,1.4496563599999999,Mo6Sc6
-0.716254509,2.2345930259999998,Au6Ta6
-0.715812324,0.9848993155000001,Tc6V6
-0.71537735,1.093510623,Mo6Tc6
-0.715174081,0.03289095349999993,Nb6Ni6
-0.713258127,-1.167872404,Sc6Zn6
-0.712950366,1.3594480759999998,La6Nb6
-0.712609816,0.5180315425,Ni6Zr6
-0.71142544,2.138780134,Ta6Zr6
-0.709968135,0.9410839209999999,Cr6Mo6
-0.708506339,1.0768235855,Cu6Sc6
-0.707433938,1.3086215985,Mo6Re6
-0.706487118,1.3452208925,La6Sc6
-0.705103964,0.878925623,Tc6Ti6
-0.704627493,0.671164332,La6Re6
-0.704130749,1.3822349545000001,Cu6Y6
-0.701146748,1.2089703895,Sc6Zn6
-0.700101831,0.5182629919999999,Co6Hf6
-0.699929311,1.2503594810000003,Co6Hf6
-0.69954495,1.273299963,La6Sc6
-0.699540324,1.1711109395,Mo6Re6
-0.698938953,-0.3104329204999998,Ag6Zr6
-0.698376493,0.933855007,Co6Zr6
-0.698105468,1.5383097989999999,Hf6Zr6
-0.697198377,-0.312942276,Cu6Sc6
-0.696251965,1.337121872,Au6Y6
-0.696188154,0.7519342929999999,Co6W6
-0.695944068,1.3890811865000001,Sc6Zr6
-0.694683909,0.5430276955,Re6Sc6
-0.694265534,1.2112190125,V6Zn6
-0.693316401,0.12862150699999986,Cu6Nb6
-0.693090682,1.2048637165,Zn6Zr6
-0.693021429,-1.5011246450000002,Cu6Sc6
-0.692298695,0.7518326204999999,Co6W6
-0.690505192,-0.7115679724999999,V6Zn6
-0.690483015,1.1110810285,Ag6Ti6
-0.689697014,2.180630502,Rh6Ta6
-0.687573846,1.2786358830000002,La12
-0.687288943,1.393383016,Au6Zr6
-0.686865126,1.193375937,Pd6Ta6
-0.68678009,2.18874428,Hf6V6
-0.686154092,-3.8787193915000002,Ag6Ti6
-0.684479776,0.09279756900000002,Ir6V6
-0.683182201,1.9247740600000003,Hf6Nb6
-0.683125057,1.450868045,Hg6Zr6
-0.68179823,0.5610237029999999,Co6V6
-0.681314139,1.346840603,Ru6W6
-0.680210446,1.093320192,Mo6Tc6
-0.679200359,1.19096702,Cr6W6
-0.679198046,1.5425154925,Re6Sc6
-0.678222654,-0.4177935964999999,Co6Sc6
-0.678222654,-0.4177935964999999,Co6Sc6
-0.678222654,-0.4177935964999999,Co6Sc6
-0.678031086,2.296803754,Pd6Ta6
-0.67713175,0.9119562825,Rh6V6
-0.676703034,0.9361090814999999,Mo6Tc6
-0.676193093,0.9246425559999998,Os6V6
-0.6743834,1.23841242,Cd6V6
-0.673108683,1.23841242,Cd6V6
-0.672301321,1.3958076925,Hg6Y6
-0.672236966,1.893386172,Rh6Y6
-0.671628928,1.2784965505,La12
-0.670360333,0.66402692,Co6Ti6
-0.66852234,1.289033959,Mo6W6
-0.665759976,0.8604532774999999,Co6La6
-0.665646097,1.0918570845,Mo6Ru6
-0.664876695,-7.9890317809999996,Cd6V6
-0.664383897,1.5796739165,Hf6La6
-0.664167294,0.9360849824999999,Mo6Tc6
-0.663808784,-0.3174424559999999,Cr6Fe6
-0.66269924,1.091665824,Hg6Ti6
-0.662635157,1.4249359940000002,Mo6Nb6
-0.66188766,0.4402369315000001,Mn6W6
-0.661591328,1.1131913755,Cd6Re6
-0.661540035,0.033152992500000034,Nb6Ni6
-0.66053022,-6.5139409665,Hg6Sc6
-0.659958237,1.2674174735000001,Nb6Os6
-0.659828031,0.05231231749999998,Cu6V6
-0.659415914,1.34257798,Ag6Nb6
-0.658091536,1.2327355899999999,Au6W6
-0.657020904,1.009637802,Pd6W6
-0.656967162,-2.7789687460000003,Au6W6
-0.656673551,0.8691130515,Ni6Ta6
-0.655979116,-0.15023079650000004,Cu6Y6
-0.654862225,1.142393673,Cu6Ti6
-0.65310573,1.0900940854999999,Hg6Sc6
-0.652150883,-0.31765986150000003,Cr6Fe6
-0.652046799,1.24652278,Cd6Mo6
-0.65169863,1.3178037615000002,Ir6Ta6
-0.651204607,0.8123142219999999,Cr6Mo6
-0.65083426,0.07410094899999997,Mn6Mo6
-0.648078291,1.4803757485000002,Y6Zn6
-0.64674126,-0.41230468899999995,Co6Y6
-0.645906279,-1.2790985849999998,Y6Zn6
-0.644497001,1.4286355715,Hg6Nb6
-0.644105837,1.2049152389999997,Mo6Os6
-0.643171534,-0.12284844300000008,Ni6W6
-0.642141584,1.3468279344999998,Ru6W6
-0.641831646,0.005689829000000035,Co6V6
-0.641232043,1.4549337495,Os6W6
-0.641158028,2.624392203,Cr6Ta6
-0.640233657,1.2203100705,Pt6Ta6
-0.639022343,2.1806263455000003,Rh6Ta6
-0.638534034,1.014848397,Mo6Rh6
-0.637616739,0.16184770300000006,Cu6Mo6
-0.637409932,0.2013892774999999,Nb6Pd6
-0.637119042,-0.53595477,Cr6Fe6
-0.636446105,0.23101902549999997,Mn6Mo6
-0.63549738,1.251875208,Cu6Nb6
-0.635279145,-1.7321457400000002,Cu6Re6
-0.634975602,1.006851361,Cu6Re6
-0.634006876,0.922394929,Cr6Re6
-0.633305231,-0.3447959614999999,Fe6Hf6
